incident_id,date,predicted_category_machine,predicted_category_human,state,year,month,year_month,quarter
63535,2024-01-31,Key Concepts / Definitions,Antisemitism,Michigan,2024,1,2024-01,1
64156,2024-02-01,Numbers / Symbols,Antisemitism,New Jersey,2024,2,2024-02,1
63592,2024-01-24,Slogans / Code words,Antisemitism,California,2024,1,2024-01,1
63517,2024-01-29,Key Concepts / Definitions,Antisemitism,Wisconsin,2024,1,2024-01,1
63965,2024-02-02,Slogans / Code words,Antisemitism,New York,2024,2,2024-02,1
64215,2024-02-04,Slogans / Code words,Antisemitism,Wisconsin,2024,2,2024-02,1
64211,2024-02-01,Slogans / Code words,Antisemitism,New Jersey,2024,2,2024-02,1
66676,2024-02-05,Slogans / Code words,Antisemitism,Illinois,2024,2,2024-02,1
64239,2024-02-05,Groups / Movements,Antisemitism,North Carolina,2024,2,2024-02,1
69196,2024-01-26,Incidents / Events,Antisemitism,California,2024,1,2024-01,1
64125,2024-02-04,Incidents / Events,Antisemitism,California,2024,2,2024-02,1
63773,2024-01-15,Publications,Antisemitism,New York,2024,1,2024-01,1
64151,2024-02-02,Slogans / Code words,Antisemitism,New York,2024,2,2024-02,1
69197,2024-02-01,Key Concepts / Definitions,Antisemitism,Connecticut,2024,2,2024-02,1
